Han,Lang,Had_URL,Built_From_Title,Final_URL,OK
Daishōji Han,en,False,True,https://en.wikipedia.org/wiki/Daish%C5%8Dji_Han,True
Iida Han,en,False,True,https://en.wikipedia.org/wiki/Iida_Han,True
Iiyama Han,en,False,True,https://en.wikipedia.org/wiki/Iiyama_Han,True
Iwamurada Han,en,False,True,https://en.wikipedia.org/wiki/Iwamurada_Han,True
Ueda Han,en,False,True,https://en.wikipedia.org/wiki/Ueda_Han,True
Komoro Han,en,False,True,https://en.wikipedia.org/wiki/Komoro_Han,True
Suzaka Han,en,False,True,https://en.wikipedia.org/wiki/Suzaka_Han,True
Suwa Han,en,False,True,https://en.wikipedia.org/wiki/Suwa_Han,True
Takatō Han,en,False,True,https://en.wikipedia.org/wiki/Takat%C5%8D_Han,True
Tanoguchi Han,en,False,True,https://en.wikipedia.org/wiki/Tanoguchi_Han,True
Matsushiro Han,en,False,True,https://en.wikipedia.org/wiki/Matsushiro_Han,True
Matsumoto Han,en,False,True,https://en.wikipedia.org/wiki/Matsumoto_Han,True
Obama Han,en,False,True,https://en.wikipedia.org/wiki/Obama_Han,True
Inuyama Han,en,False,True,https://en.wikipedia.org/wiki/Inuyama_Han,True
Nagoya Han,en,False,True,https://en.wikipedia.org/wiki/Nagoya_Han,True
Ojima Han,en,False,True,https://en.wikipedia.org/wiki/Ojima_Han,True
Tanaka Han,en,False,True,https://en.wikipedia.org/wiki/Tanaka_Han,True
Numazu Han,en,False,True,https://en.wikipedia.org/wiki/Numazu_Han,True
Kakegawa Han,en,False,True,https://en.wikipedia.org/wiki/Kakegawa_Han,True
Sagara Han,en,False,True,https://en.wikipedia.org/wiki/Sagara_Han,True
Hamamatsu Han,en,False,True,https://en.wikipedia.org/wiki/Hamamatsu_Han,True
Yokosuka Han,en,False,True,https://en.wikipedia.org/wiki/Yokosuka_Han,True
Okazaki Han,en,False,True,https://en.wikipedia.org/wiki/Okazaki_Han,True
Okudono Han,en,False,True,https://en.wikipedia.org/wiki/Okudono_Han,True
Kariya Han,en,False,True,https://en.wikipedia.org/wiki/Kariya_Han,True
Koromo Han,en,False,True,https://en.wikipedia.org/wiki/Koromo_Han,True
Tahara Han,en,False,True,https://en.wikipedia.org/wiki/Tahara_Han,True
Nishio Han,en,False,True,https://en.wikipedia.org/wiki/Nishio_Han,True
Nishiōhira Han,en,False,True,https://en.wikipedia.org/wiki/Nishi%C5%8Dhira_Han,True
Nishibata Han,en,False,True,https://en.wikipedia.org/wiki/Nishibata_Han,True
Hatamura Han,en,False,True,https://en.wikipedia.org/wiki/Hatamura_Han,True
Hanbara Han,en,False,True,https://en.wikipedia.org/wiki/Hanbara_Han,True
Yoshida Han,en,False,True,https://en.wikipedia.org/wiki/Yoshida_Han,True
Imao Han,en,False,True,https://en.wikipedia.org/wiki/Imao_Han,True
Iwamura Han,en,False,True,https://en.wikipedia.org/wiki/Iwamura_Han,True
Ōgaki Han,en,False,True,https://en.wikipedia.org/wiki/%C5%8Cgaki_Han,True
Ōgaki Shinden Han,en,False,True,https://en.wikipedia.org/wiki/%C5%8Cgaki_Shinden_Han,True
